player_name,player_url,year,team_name,team_url,age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Felix Potvin,/players/p/potvife01.html,1995,TOR,/teams/TOR/1995.html,23,36,,15,13,7,104,1120,1016,.907,2.91,0,2144,,,,93,7.35,0,0,0,4
Daren Puppa,/players/p/puppada01.html,1995,TBL,/teams/TBL/1995.html,29,36,,14,19,2,90,946,856,.905,2.68,1,2013,,,,96,4.05,0,1,1,2
Bill Ranford,/players/r/ranfobi01.html,1995,EDM,/teams/EDM/1995.html,28,40,,15,20,3,133,1134,1001,.883,3.62,2,2203,,,,118,-20.26,0,2,2,2
Jeff Reese,/players/r/reeseje01.html,1995,HAR,/teams/HAR/1995.html,28,11,,2,5,1,26,234,208,.889,3.27,0,477,,,,112,-2.74,0,0,0,0
Damian Rhodes,/players/r/rhodeda01.html,1995,TOR,/teams/TOR/1995.html,25,13,,6,6,1,34,404,370,.916,2.68,0,760,,,,85,6.17,0,0,0,4
Mike Richter,/players/r/richtmi01.html,1995,NYR,/teams/NYR/1995.html,28,35,,14,17,2,97,884,787,.890,2.92,2,1993,,,,110,-9.11,0,0,0,2
Vincent Riendeau,/players/r/riendvi01.html,1995,BOS,/teams/BOS/1995.html,28,11,,3,6,1,27,221,194,.878,2.87,0,565,,,,123,-5.03,0,0,0,2
Dominic Roussel,/players/r/roussdo01.html,1995,PHI,/teams/PHI/1995.html,24,19,,11,7,0,42,486,444,.914,2.34,1,1075,,,,87,6.32,0,0,0,6
Patrick Roy,/players/r/roypa01.html,1995,MTL,/teams/MTL/1995.html,29,43,,17,20,6,127,1357,1230,.906,2.97,1,2566,,,,94,7.91,0,1,1,20
Tommy Salo,/players/s/saloto01.html,1995,NYI,/teams/NYI/1995.html,23,6,,1,5,0,18,189,171,.905,3.02,0,358,,,,,,0,1,1,0
Geoff Sarjeant,/players/s/sarjege01.html,1995,STL,/teams/STL/1995.html,25,4,,1,0,0,6,52,46,.885,3.00,0,120,,,,,,0,1,1,2
Mikhail Shtalenkov,/players/s/shtalmi01.html,1995,MDA,/teams/MDA/1995.html,29,18,,4,7,1,49,448,399,.891,3.63,0,810,,,,110,-4.46,0,0,0,2
Garth Snow,/players/s/snowga01.html,1995,QUE,/teams/QUE/1995.html,25,2,,1,1,0,11,63,52,.825,5.55,0,119,,,,,,0,0,0,0
Tommy Soderstrom,/players/s/soderto01.html,1995,NYI,/teams/NYI/1995.html,25,26,,8,12,3,70,717,647,.902,3.11,1,1350,,,,98,1.28,0,0,0,2
Robb Stauber,/players/s/staubro01.html,1995,,,27,7,,2,3,0,22,156,134,.859,3.96,0,333,,,,,,0,0,0,0
Jamie Storr,/players/s/storrja01.html,1995,LAK,/teams/LAK/1995.html,19,5,,1,3,1,17,152,135,.888,3.88,0,263,,,,,,0,0,0,0
Rick Tabaracci,/players/t/tabarri01.html,1995,,,26,13,,3,3,3,21,240,219,.913,2.11,0,596,,,,88,2.86,0,2,2,2
Chris Terreri,/players/t/terrech01.html,1995,NJD,/teams/NJD/1995.html,30,15,,3,7,2,31,309,278,.900,2.53,0,734,,,,101,-0.28,0,0,0,0
Jocelyn Thibault,/players/t/thibajo01.html,1995,QUE,/teams/QUE/1995.html,20,18,,12,2,2,35,423,388,.917,2.34,1,898,,,,83,7.05,0,0,0,0
Mike Torchia,/players/t/torchmi01.html,1995,DAL,/teams/DAL/1995.html,22,6,,3,2,1,18,172,154,.895,3.30,0,327,,,,,,0,0,0,0
Andrei Trefilov,/players/t/trefian01.html,1995,CGY,/teams/CGY/1995.html,25,6,,0,3,0,16,130,114,.877,4.07,0,236,,,,,,0,0,0,0
Ron Tugnutt,/players/t/tugnuro01.html,1995,MTL,/teams/MTL/1995.html,27,7,,1,3,1,18,172,154,.895,3.12,0,346,,,,,,0,0,0,0
John Vanbiesbrouck,/players/v/vanbijo01.html,1995,FLA,/teams/FLA/1995.html,31,37,,14,15,4,86,1000,914,.914,2.47,4,2087,,,,87,13.42,0,1,1,6
Mike Vernon,/players/v/vernomi01.html,1995,DET,/teams/DET/1995.html,31,30,,19,6,4,76,710,634,.893,2.52,1,1807,,,,108,-5.41,0,0,0,8
Jimmy Waite,/players/w/waiteji01.html,1995,CHI,/teams/CHI/1995.html,25,2,,1,1,0,5,51,46,.902,2.52,0,119,,,,,,0,0,0,0
Darcy Wakaluk,/players/w/wakalda01.html,1995,DAL,/teams/DAL/1995.html,28,15,,4,8,0,40,341,301,.883,3.18,2,754,,,,118,-6.10,0,0,0,4
Kay Whitmore,/players/w/whitmka01.html,1995,VAN,/teams/VAN/1995.html,27,11,,0,6,2,37,279,242,.867,3.98,0,558,,,,133,-9.26,0,1,1,7
Ken Wregget,/players/w/wreggke01.html,1995,PIT,/teams/PIT/1995.html,30,38,,25,9,2,118,1219,1101,.903,3.21,0,2208,,,,97,3.19,0,0,0,14
Wendell Young,/players/y/youngwe01.html,1995,PIT,/teams/PIT/1995.html,31,10,,3,6,0,27,255,228,.894,3.26,0,497,,,,107,-1.65,0,0,0,2
Scott Bailey,/players/b/bailesc01.html,1996,BOS,/teams/BOS/1996.html,23,11,,5,1,2,31,264,233,.883,3.26,0,571,,,,,,0,0,0,0
Mike Bales,/players/b/balesmi01.html,1996,OTT,/teams/OTT/1996.html,24,20,,2,14,1,72,560,488,.871,4.15,0,1040,,,,127,-15.12,0,0,0,2
Tom Barrasso,/players/b/barrato01.html,1996,PIT,/teams/PIT/1996.html,30,49,,29,16,2,160,1626,1466,.902,3.43,2,2799,,,,97,5.17,0,3,3,18
Don Beaupre,/players/b/beaupdo01.html,1996,,,34,41,,6,28,0,136,1062,926,.872,3.87,1,2106,,,,126,-28.12,0,2,2,31
Ed Belfour,/players/b/belfoed01.html,1996,CHI,/teams/CHI/1996.html,30,50,,22,17,10,135,1373,1238,.902,2.74,1,2956,,,,97,4.47,0,2,2,36
Jean-Claude Bergeron,/players/b/bergeje01.html,1996,TBL,/teams/TBL/1996.html,27,12,,2,6,2,42,250,208,.832,4.24,0,595,,,,,,0,0,0,0
Allan Bester,/players/b/besteal01.html,1996,DAL,/teams/DAL/1996.html,31,10,,4,5,1,30,297,267,.899,3.00,0,601,,,,,,0,0,0,2
Craig Billington,/players/b/billicr01.html,1996,BOS,/teams/BOS/1996.html,29,27,,10,13,3,79,594,515,.867,3.43,1,1380,,,,131,-18.66,0,0,0,2
Martin Biron,/players/b/bironma01.html,1996,BUF,/teams/BUF/1996.html,18,3,,0,2,0,10,64,54,.844,5.04,0,119,,,,,,0,0,0,0
John Blue,/players/b/bluejo01.html,1996,BUF,/teams/BUF/1996.html,29,5,,2,2,0,15,137,122,.891,3.53,0,255,,,,,,0,0,0,0
Fred Brathwaite,/players/b/brathfr01.html,1996,EDM,/teams/EDM/1996.html,23,7,,0,2,0,12,140,128,.914,2.46,0,293,,,,,,0,0,0,2
Martin Brodeur,/players/b/brodema01.html,1996,NJD,/teams/NJD/1996.html,23,77,,34,30,12,173,1954,1781,.911,2.34,6,4433,,,,87,25.49,0,1,1,6
