"name","gp","g","a","hits","blocks","ppp","shg","sog","fow"
"Kevin Porter","40"," 2.260"," 2.17"," 87.4"," 21.41","-0.7125"," 7.5e-02"," 30.6"," 45.0"
"Charles Hudon","28"," 3.179"," 7.91"," 57.7","  9.12"," 2.1134"," 3.3e-02"," 26.6","  0.0"
"Daniel Paille","37"," 3.101"," 2.82"," 52.5"," 24.65","-0.2572"," 8.5e-02"," 30.2","  0.0"
"Turner Elson","24"," 3.489","10.38"," 40.2","  8.13"," 3.1588"," 5.6e-02"," 22.3","  0.0"
"Kerby Rychel","37"," 3.276"," 6.41"," 49.9"," 12.53"," 0.9927"," 8.6e-02"," 33.4","  5.2"
"Hunter Shinkaruk","34"," 5.230"," 7.36"," 39.5"," 12.14"," 4.3972","-3.9e-02"," 51.0","  0.0"
"Kyle Chipchura","51"," 2.924"," 6.04"," 60.3"," 15.61","-0.5571"," 7.9e-02"," 36.9"," 94.4"
"Chad Ruhwedel","25"," 0.545"," 2.49"," 65.9"," 44.75"," 0.2113"," 1.6e-02"," 19.7","  0.0"
"Anthony Mantha","35"," 5.857"," 6.60"," 18.9","  9.40"," 3.7828"," 6.2e-03"," 60.3","  0.0"
"Michael Latta","45"," 2.225"," 4.78"," 67.0"," 15.84","-0.3005"," 9.5e-02"," 27.8","110.6"
"Sergei Plotnikov","42"," 2.955"," 1.56"," 90.8","  9.15","-0.7657"," 6.4e-02"," 33.5","  5.7"
"Alexei Marchenko","41","-0.044"," 5.18"," 39.3"," 60.06"," 0.0443"," 1.0e-03"," 24.3","  0.0"
"Tomas Jurco","45"," 4.023"," 4.05"," 61.1"," 10.20","-0.0043"," 1.1e-01"," 44.4","  6.0"
"Oskar Sundqvist","38"," 2.399"," 4.96"," 40.0"," 11.34","-0.2171"," 5.5e-01"," 29.2","131.0"
"Matt Tennyson","41"," 1.063"," 6.03"," 39.5"," 33.16"," 0.9895","-6.3e-03"," 36.7","  0.0"
"Mike Reilly","43"," 1.638"," 8.21"," 11.1"," 37.14"," 2.1098","-3.8e-02"," 42.8","  0.0"
"T.J. Brennan","31"," 1.820"," 5.18"," 32.8"," 27.30"," 1.7862"," 1.4e-02"," 40.0","  0.0"
"Brendan Gaunce","37"," 2.950"," 4.29"," 59.5","  7.53"," 0.7092"," 1.0e-01"," 49.4"," 88.2"
"Kael Mouillierat","26"," 1.797"," 2.42"," 84.7"," 10.68"," 0.2447"," 8.4e-02"," 16.2","116.7"
"Patrick Brown","34"," 2.765"," 4.36"," 57.5"," 26.21"," 0.3669"," 6.0e-02"," 34.4","  0.0"
"Scott Wilson","39"," 4.869"," 3.66"," 63.3"," 11.15"," 0.1586"," 5.3e-02"," 56.4","  0.0"
"Michal Jordan","41"," 0.392"," 5.44"," 33.3"," 42.75"," 1.0641","-1.3e-02"," 33.2","  0.0"
"Tobias Lindberg","30"," 4.089"," 5.18"," 48.8","  5.69"," 1.5181"," 8.0e-02"," 50.6","  0.0"
"Brad Malone","42"," 1.375"," 3.19"," 92.1"," 15.88","-0.8495"," 6.3e-02"," 23.2"," 33.8"
"Tyler Wotherspoon","32"," 0.809"," 3.48"," 42.9"," 46.66"," 0.3514"," 1.3e-02"," 21.6","  0.0"
